video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ITAhonrAqUs&pp=ygUHcG9rZW1vbg%3D%3D,/@OfficialPoke%CC%81monTV,Pokémon TV,Going For a Spinda | POKÉMON FULL EPISODE 17 | Season 7,109K,2 days,"When rumors arise that a particular Spinda draws happiness to its Trainer, Team Rocket quickly hatches a plan to steal this lucky ...",2026-01-21 18:55:24.072328
/watch?v=qL62jOm3r5c&pp=ygUHcG9rZW1vbg%3D%3D,/@curtomatic,Curtomatic,I HATE POKÉMON MEGA DIMENSION DLC,5.7K,11 hours,"Pokémon Legends Z-A recently got a new DLC called: Mega Dimension, and I have some things to say about it. This is the sequel ...",2026-01-21 18:55:24.075460
/watch?v=BquANIyjAhQ&pp=ygUHcG9rZW1vbtIHCQmHCgGHKiGM7w%3D%3D,/@UnitedGamer,UnitedGamer,"Catch a Pokemon For Every Letter, BUT Shinies Are More Poweful!",190K,3 months,Go to https://buyraycon.com/unitedgamerOPEN to get 30% off the Essential Open Earbuds We have 30 Minutes on a Timer to ...,2026-01-21 18:55:24.076707
/watch?v=gZPHs2xUtO8&pp=ygUHcG9rZW1vbg%3D%3D,/@mysticrips,Mystic Rips,I Opened EVERY Ultra Premium Collection Box,334K,1 month,Mystic Mystery Mega Dream EX Pack: https://mysticrips.com/48Jusb9 Mystic Mystery Booster Box Madness: ...,2026-01-21 18:55:24.077851
/watch?v=z3hMX65Khtg&pp=ygUHcG9rZW1vbg%3D%3D,/@OfficialPoke%CC%81monTV,Pokémon TV,Pokémon - I Choose You! | FULL EPISODE 1 | Season 1,10M,1 year,"Ash Ketchum, a 10-year-old from Pallet Town, is finally old enough to receive his first Pokémon! However, he oversleeps, and the ...",2026-01-21 18:55:24.079713
/shorts/xaeo53aArEw,/@RealBreakingNate,RealBreakingNate,I Pulled a GOD PACK of Eeveelution Pokemon Cards! 🤯,10M,11 months,Pulled a God Pack of Eeveelution Pokemon cards! Subscribe to RealBreakingNate for more Pokemon openings.,2026-01-21 18:55:24.081456
/watch?v=myHl_3n1Q6I&pp=ygUHcG9rZW1vbg%3D%3D,/@sacredstuff,sacredstuff,I Simulated Pokémon In Real Life,742K,2 weeks,In this video I simulated getting a pet Pokemon in real life. From a baby Charmander all the way to a Charizard! I simulate this ...,2026-01-21 18:55:24.082649
/shorts/RaXxv4L7iso,/@SeanDoesMagic,SeanDoesMagic,The BEST Pokemon Pack EVER?!,61M,1 year,Go go go bro did you know I bought a Pokemon pack today go go man I hope I get something good in it hope I get something ...,2026-01-21 18:55:24.083938
/watch?v=8SJSS_CB6jE&pp=ygUHcG9rZW1vbg%3D%3D,/@pokemon,The Official Pokémon YouTube channel,ENTER PIKACHU!  [FULL EPISODE] 📺 | Pokémon Journeys: The Series Episode 1,8.2M,5 years,"The journey starts today! ⚡   US Trainers, catch the rest of Pokémon Journeys: The Series on Netflix US: https://bit.ly/38SnekQ ...",2026-01-21 18:55:24.085579
/watch?v=yteSsb4_QTU&pp=ygUHcG9rZW1vbg%3D%3D,/@OfficialPoke%CC%81monTV,Pokémon TV,Ash & Pikachu Challenge the Pokémon League! | 3 HOURS | Pokémon Season 2,463K,1 month,"It's been a long journey for Ash and Pikachu, but they've finally collected all 8 Indigo League badges and are set to take on the ...",2026-01-21 18:55:24.086784
/shorts/v7sT8oS2Sg8,/@ShortPocketMonster,ShortPocketMonster,What Grade Did You Get? - Episode 16 - TWO Charizards from XY Evolutions,8.7M,11 months,"We pulled the two top Charizards out of XY Evolutions, and now we're gonna see what grade they scored! Here are the original ...",2026-01-21 18:55:24.087978
